document,text,event_trigger,keyword,label
1.txt,"The diverse range of the [KEYWORD] members’ educational and professional backgrounds [/KEYWORD] [TRIGGER] includes [/TRIGGER] banking, business administration, social sciences.",includes,members’ educational and professional backgrounds,3
10.txt,"Contributing to society by improving access to healthcare, environmental protection, and ethics and transparency, as well as [TRIGGER] delivering [/TRIGGER] our [KEYWORD] Ambition Zero Carbon programme [/KEYWORD].",delivering,Ambition Zero Carbon programme,0
10.txt,"Contributing to society by [TRIGGER] improving [/TRIGGER] access to healthcare, [KEYWORD] environmental protection [/KEYWORD], and ethics and transparency, as well as delivering our Ambition Zero Carbon programme.",improving,environmental protection,0
100.txt,Our water strategy focuses on working towards healthy watersheds by combining internal and external efforts to [TRIGGER] support [/TRIGGER] [KEYWORD] water security [/KEYWORD].,support,water security,0
100.txt,[KEYWORD] Our water strategy [/KEYWORD] [TRIGGER] focuses [/TRIGGER] on working towards healthy watersheds by combining internal and external efforts to support water security.,focuses,Our water strategy,3
100.txt,Our water strategy focuses on [TRIGGER] working [/TRIGGER] towards [KEYWORD] healthy watersheds [/KEYWORD] by combining internal and external efforts to support water security.,working,healthy watersheds,1
102.txt,"In addition, the Company has substantially reduced its carbon emissions and taken a number of steps to [TRIGGER] promote [/TRIGGER] [KEYWORD] a sustainable future [/KEYWORD].  ",promote,a sustainable future,1
102.txt,"In addition, the Company has substantially [TRIGGER] reduced [/TRIGGER] [KEYWORD] its carbon emissions [/KEYWORD] and taken a number of steps to promote a sustainable future.  ",reduced,its carbon emissions,0
103.txt,"The Board, the Executive Management and the [KEYWORD] Group's employees [/KEYWORD] [TRIGGER] are committed [/TRIGGER] to promoting and maintaining high standards of business conduct and ethics.  ",are committed,Group's employees,2
103.txt,"The Board, the Executive Management and the Group's employees are committed to [TRIGGER] promoting and maintaining [/TRIGGER] high standards of [KEYWORD] business conduct [/KEYWORD] and ethics.  ",promoting and maintaining,business conduct,2
104.txt,The Board and senior management are committed to [TRIGGER] developing and maintaining [/TRIGGER] [KEYWORD] a culture [/KEYWORD] of integrity and ethical conduct.  ,developing and maintaining,a culture,1
